user_id,customer_age,time_on_site,pages_visited,purchase_amount,customer_satisfaction,is_premium,session_date,device_type,traffic_source,country,browser
1,18,21.6,5,101.25,8.1,True,2023-01-01 00:00:00,Desktop,Organic,USA,Firefox
2,47,2.5,1,35.9,6.1,False,2023-01-01 01:00:00,Mobile,Social,UK,Chrome
3,39,12.7,8,135.34,6.1,True,2023-01-01 02:00:00,Mobile,Social,UK,Safari
4,36,23.3,9,175.0,7.7,True,2023-01-01 03:00:00,Tablet,Organic,UK,Chrome
5,18,13.8,4,84.46,2.9,True,2023-01-01 04:00:00,Desktop,Organic,USA,Chrome
6,66,3.5,2,48.89,8.6,False,2023-01-01 05:00:00,Mobile,Organic,France,Chrome
7,22,24.1,6,144.54,6.9,True,2023-01-01 06:00:00,Desktop,Paid,Canada,Chrome
8,66,6.9,4,134.82,9.6,False,2023-01-01 07:00:00,Desktop,Organic,Germany,Firefox
9,18,30.5,9,124.55,4.9,True,2023-01-01 08:00:00,Desktop,Social,France,Edge
10,23,13.0,5,65.91,4.0,True,2023-01-01 09:00:00,Mobile,Direct,France,Firefox
11,18,13.2,8,110.8,6.7,False,2023-01-01 10:00:00,Mobile,Social,USA,Chrome
12,40,17.5,8,101.21,6.6,True,2023-01-01 11:00:00,Desktop,Direct,Germany,Chrome
13,18,12.0,5,53.72,6.0,False,2023-01-01 12:00:00,Desktop,Direct,Canada,Chrome
14,19,16.8,7,106.49,6.3,False,2023-01-01 13:00:00,Desktop,Social,Canada,Chrome
15,18,17.8,8,109.02,5.1,True,2023-01-01 14:00:00,Desktop,Social,France,Chrome
16,47,14.7,5,161.84,4.4,True,2023-01-01 15:00:00,Mobile,Direct,USA,Firefox
17,46,12.9,4,91.25,6.3,False,2023-01-01 16:00:00,Mobile,Social,UK,Firefox
18,62,7.1,4,57.3,3.6,False,2023-01-01 17:00:00,Mobile,Paid,France,Firefox
19,25,14.1,5,85.39,3.8,True,2023-01-01 18:00:00,Tablet,Organic,Canada,Chrome
20,38,18.1,4,101.95,5.4,True,2023-01-01 19:00:00,Desktop,Social,USA,Chrome
21,18,38.2,8,181.46,7.5,True,2023-01-01 20:00:00,Tablet,Direct,UK,Firefox
22,30,18.0,7,104.77,9.0,True,2023-01-01 21:00:00,Mobile,Social,UK,Chrome
23,27,15.8,5,97.04,7.4,True,2023-01-01 22:00:00,Desktop,Paid,UK,Chrome
24,42,4.4,1,60.47,7.8,True,2023-01-01 23:00:00,Mobile,Social,France,Firefox
25,50,5.2,4,56.33,6.5,True,2023-01-02 00:00:00,Desktop,Direct,UK,Chrome
26,50,7.5,5,50.8,6.1,False,2023-01-02 01:00:00,Mobile,Social,France,Chrome
27,22,14.1,4,155.06,10.0,False,2023-01-02 02:00:00,Mobile,Paid,UK,Chrome
28,50,8.4,3,109.91,4.1,True,2023-01-02 03:00:00,Mobile,Paid,USA,Chrome
29,34,22.1,9,165.58,6.0,True,2023-01-02 04:00:00,Mobile,Paid,USA,Firefox
30,30,20.7,5,94.71,5.4,False,2023-01-02 05:00:00,Mobile,Direct,Germany,Chrome
31,24,15.4,8,126.53,7.6,True,2023-01-02 06:00:00,Desktop,Organic,France,Safari
32,27,9.5,4,127.04,4.8,True,2023-01-02 07:00:00,Tablet,Direct,USA,Chrome
33,61,11.8,5,82.05,7.0,False,2023-01-02 08:00:00,Mobile,Organic,UK,Chrome
34,40,11.4,5,58.86,6.5,False,2023-01-02 09:00:00,Mobile,Direct,France,Chrome
35,38,3.6,1,39.38,6.6,False,2023-01-02 10:00:00,Mobile,Paid,Australia,Safari
36,31,17.7,4,78.75,7.0,False,2023-01-02 11:00:00,Desktop,Social,France,Chrome
37,72,7.1,5,64.84,8.0,True,2023-01-02 12:00:00,Desktop,Social,Germany,Firefox
38,55,1.0,1,52.58,5.5,False,2023-01-02 13:00:00,Mobile,Social,France,Safari
39,24,12.1,3,103.68,6.8,True,2023-01-02 14:00:00,Tablet,Social,UK,Chrome
40,31,13.7,4,85.84,4.8,True,2023-01-02 15:00:00,Mobile,Organic,USA,Chrome
41,32,17.6,5,127.55,4.8,True,2023-01-02 16:00:00,Desktop,Organic,Germany,Firefox
42,37,9.8,4,65.22,8.3,True,2023-01-02 17:00:00,Desktop,Organic,Germany,Safari
43,24,12.0,3,111.76,4.9,False,2023-01-02 18:00:00,Mobile,Social,France,Chrome
44,42,14.7,6,99.21,7.0,False,2023-01-02 19:00:00,Desktop,Social,UK,Edge
45,57,4.1,3,85.98,6.7,False,2023-01-02 20:00:00,Mobile,Organic,Australia,Firefox
46,18,20.8,7,98.71,7.7,True,2023-01-02 21:00:00,Mobile,Social,Canada,Safari
47,18,12.5,6,91.58,3.4,True,2023-01-02 22:00:00,Desktop,Paid,Canada,Chrome
48,28,8.4,5,162.71,8.0,True,2023-01-02 23:00:00,Desktop,Paid,Australia,Chrome
49,28,18.7,4,95.06,5.9,False,2023-01-03 00:00:00,Tablet,Paid,Germany,Chrome
50,65,5.3,3,87.75,5.0,True,2023-01-03 01:00:00,Mobile,Social,USA,Safari
51,50,13.1,3,111.64,5.7,True,2023-01-03 02:00:00,Desktop,Organic,UK,Chrome
52,49,6.1,3,77.86,7.3,True,2023-01-03 03:00:00,Mobile,Direct,Germany,Firefox
53,31,10.2,6,106.62,7.2,True,2023-01-03 04:00:00,Desktop,Social,UK,Chrome
54,31,21.1,7,99.61,5.8,True,2023-01-03 05:00:00,Desktop,Social,USA,Chrome
55,18,10.5,7,72.3,4.0,True,2023-01-03 06:00:00,Mobile,Organic,UK,Chrome
56,47,15.7,7,80.15,4.2,False,2023-01-03 07:00:00,Desktop,Social,Germany,Firefox
57,42,17.4,5,105.24,7.2,False,2023-01-03 08:00:00,Desktop,Direct,USA,Chrome
58,54,11.5,4,77.63,3.9,False,2023-01-03 09:00:00,Desktop,Paid,Germany,Safari
59,32,10.5,7,97.44,5.8,False,2023-01-03 10:00:00,Desktop,Organic,France,Firefox
60,33,9.6,4,54.64,9.6,False,2023-01-03 11:00:00,Mobile,Paid,Canada,Edge
61,38,11.2,5,66.66,6.4,True,2023-01-03 12:00:00,Mobile,Paid,France,Firefox
62,48,2.5,3,83.28,6.9,False,2023-01-03 13:00:00,Desktop,Paid,Germany,Firefox
63,18,13.3,4,86.96,4.3,False,2023-01-03 14:00:00,Desktop,Social,Canada,Firefox
64,46,12.9,3,79.16,4.0,True,2023-01-03 15:00:00,Mobile,Paid,Australia,Chrome
65,35,16.3,7,95.97,7.2,True,2023-01-03 16:00:00,Tablet,Direct,Germany,Chrome
66,19,12.5,7,79.26,5.4,True,2023-01-03 17:00:00,Desktop,Paid,France,Safari
67,18,21.5,8,156.83,8.3,True,2023-01-03 18:00:00,Desktop,Social,Germany,Chrome
68,33,15.9,4,133.36,6.5,True,2023-01-03 19:00:00,Tablet,Direct,Australia,Chrome
69,57,14.0,4,86.26,10.0,True,2023-01-03 20:00:00,Desktop,Paid,Canada,Firefox
70,60,8.3,5,74.11,5.0,False,2023-01-03 21:00:00,Tablet,Organic,UK,Safari
71,40,16.7,4,139.79,7.0,True,2023-01-03 22:00:00,Mobile,Paid,UK,Chrome
72,64,6.6,5,58.23,4.4,False,2023-01-03 23:00:00,Desktop,Paid,Australia,Safari
73,34,18.1,6,91.75,7.6,True,2023-01-04 00:00:00,Desktop,Social,France,Chrome
74,49,2.3,1,70.6,6.5,False,2023-01-04 01:00:00,Tablet,Direct,UK,Chrome
75,28,14.4,8,95.43,4.7,True,2023-01-04 02:00:00,Desktop,Social,Canada,Edge
76,27,15.1,8,103.05,5.7,False,2023-01-04 03:00:00,Mobile,Direct,USA,Chrome
77,25,14.8,3,53.04,7.7,False,2023-01-04 04:00:00,Desktop,Organic,Australia,Chrome
78,18,20.3,7,157.97,8.6,True,2023-01-04 05:00:00,Mobile,Organic,Canada,Safari
79,54,10.4,5,101.5,4.0,True,2023-01-04 06:00:00,Mobile,Organic,Canada,Chrome
80,25,17.8,7,142.53,5.9,True,2023-01-04 07:00:00,Mobile,Social,UK,Chrome
81,23,15.7,7,81.76,8.7,False,2023-01-04 08:00:00,Desktop,Organic,USA,Edge
82,18,14.4,6,157.39,6.5,True,2023-01-04 09:00:00,Mobile,Organic,France,Chrome
83,32,19.4,6,103.63,6.5,True,2023-01-04 10:00:00,Mobile,Direct,UK,Edge
84,61,6.8,5,113.56,7.8,False,2023-01-04 11:00:00,Desktop,Paid,USA,Safari
85,66,1.0,4,65.22,3.8,False,2023-01-04 12:00:00,Mobile,Organic,Australia,Chrome
86,18,17.1,7,128.55,5.0,True,2023-01-04 13:00:00,Mobile,Paid,Germany,Chrome
87,30,5.9,4,77.24,5.4,False,2023-01-04 14:00:00,Desktop,Organic,USA,Chrome
88,19,17.8,5,85.52,7.8,False,2023-01-04 15:00:00,Tablet,Organic,UK,Chrome
89,50,7.6,6,54.82,7.2,False,2023-01-04 16:00:00,Desktop,Paid,Germany,Chrome
90,39,8.8,5,123.5,7.5,False,2023-01-04 17:00:00,Desktop,Paid,UK,Safari
91,25,23.8,7,88.15,5.8,True,2023-01-04 18:00:00,Desktop,Direct,Australia,Edge
92,36,6.9,2,87.31,7.7,False,2023-01-04 19:00:00,Desktop,Paid,Australia,Edge
93,28,18.7,7,152.96,6.5,False,2023-01-04 20:00:00,Desktop,Social,Australia,Edge
94,59,16.7,8,84.15,6.9,False,2023-01-04 21:00:00,Desktop,Social,Germany,Chrome
95,43,15.9,5,80.83,7.3,True,2023-01-04 22:00:00,Mobile,Social,Australia,Chrome
96,45,9.8,6,62.6,8.3,False,2023-01-04 23:00:00,Mobile,Direct,UK,Chrome
97,18,12.4,4,66.66,5.7,True,2023-01-05 00:00:00,Desktop,Paid,Germany,Firefox
98,34,6.5,2,92.69,5.5,True,2023-01-05 01:00:00,Mobile,Organic,France,Safari
99,66,1.6,7,96.41,8.1,True,2023-01-05 02:00:00,Mobile,Organic,Germany,Safari
100,55,3.6,5,87.24,8.1,False,2023-01-05 03:00:00,Mobile,Organic,Australia,Safari
101,18,14.5,5,81.69,5.2,False,2023-01-05 04:00:00,Tablet,Direct,USA,Chrome
